site_id,site_name,region,ccamlr_id,latitude,longitude,input_srid
ACTI,Active Reef (Active Sound),Northeast Antarctic Peninsula,48.1,-63.390833,-55.874722,4326
ACUN,Acuna Island,South Orkney Islands,48.2,-60.7612,-44.637,4326
ADAM,Adams Island,Queen Mary Land,58.4.1,-66.5459,92.5486,4326
ADAR,Cape Adare,Victoria Land,88.1,-71.3063,170.1999,4326
AILS,Ailsa Craig,South Orkney Islands,48.2,-60.78,-44.631,4326
AITC,Barrientos Island (Aitcho Islands),South Shetland Islands,48.1,-62.4071,-59.7517,4326
AITI,Aitcho Island Other,South Shetland Islands,48.1,-62.381,-59.777,4326
AITK,Aitken Cove,South Orkney Islands,48.2,-60.738,-44.525,4326
AKAR,Akarui Point,Queen Maud Land,58.4.2,-68.4999,41.3901,4326
ALAS,Alasheyev Bight,Enderby Land,58.4.2,-67.654,46.109,4326
ALCO,Alcock Island,Central-west Antarctic Peninsula,48.1,-64.24,-61.127,4326
ALMI,Brown Station,Central-west Antarctic Peninsula,48.1,-64.8833,-62.8667,4326
AMAN,Amanda Bay,Princess Elizabeth Land,58.4.2,-69.27,76.83,4326
AMBU,Ambush Bay,Northeast Antarctic Peninsula,48.1,-63.184,-55.393,4326
AMPH,Amphibolite Point,South Orkney Islands,48.2,-60.684,-45.339,4326
AMUN,Amundsen Bay,Enderby Land,58.4.2,-66.78,50.55,4326
ANCH,Anchorage Island,Southwest Antarctic Peninsula,48.1,-67.6042,-68.2089,4326
ANDE,Cape Anderson,South Orkney Islands,48.2,-60.757,-44.601,4326
ANDI,Andresen Island Site 2,Southwest Antarctic Peninsula,48.1,-66.875,-66.711,4326
ANDR,Andresen Island Site 1,Southwest Antarctic Peninsula,48.1,-66.879,-66.649,4326
ANDS,Andersen Island,Mac. Robertson Land,58.4.2,-67.4353,63.3572,4326
ANNE,Cape Anne,Victoria Land,88.1,-73.617,169.85,4326
ANVS,Anvers Island South West (7 km south of Gerlache Island),Central-west Antarctic Peninsula,48.1,-64.66,-64.25,4326
ARDL,Ardley Island,South Shetland Islands,48.1,-62.213,-58.933,4326
ARMS,Armstrong Reef,Southwest Antarctic Peninsula,48.1,-65.8919,-66.2117,4326
ARTH,Arthurson Ridge,Victoria Land,88.1,-69.3634,158.5109,4326
ASPL,Aspland Island,Elephant Island,48.1,-61.468,-55.894,4326
ASTD,Astrid,Queen Maud Land,48.6,-69.95,8.31,4326
ASTR,Astrolabe Island,Northwest Antarctic Peninsula,48.1,-63.316,-58.683,4326
ASTU,Cape Astrup,Central-west Antarctic Peninsula,48.1,-64.710833,-63.182778,4326
ATKA,Atka,Queen Maud Land,48.6,-70.61,-8.13,4326
AUST,Auster Islands,Mac. Robertson Land,58.4.2,-67.39,63.98,4326
AVIA,Avian Island,Southwest Antarctic Peninsula,48.1,-67.7732,-68.8855,4326
BACH,Bach Quartet,South Shetland Islands,48.1,-61.921,-58.028,4326
BACK,Backer Islands,Marie Byrd Land,88.3,-74.4112,-102.5515,4326
BAIL,Baily Head (Deception Island),South Shetland Islands,48.1,-62.965,-60.506,4326
BALA,Balaena Islands,Wilkes Land,58.4.1,-66.0158,111.0688,4326
BALD,Bald Head,Northeast Antarctic Peninsula,48.1,-63.6302,-57.6048,4326
BARC,Barcroft Islands,Southwest Antarctic Peninsula,48.1,-66.4575,-67.1397,4326
BARN,Barnard Point (Livingston Island),South Shetland Islands,48.1,-62.758,-60.338,4326
BART,Barton Peninsula,South Shetland Islands,48.1,-62.224,-58.791,4326
BATT,Cape Batterbee,Enderby Land,58.4.2,-65.842,53.8129,4326
BEAG,Beagle Island,Northeast Antarctic Peninsula,48.1,-63.4139,-54.6675,4326
BEAN,Beaufort Island North,Victoria Land,88.1,-76.9288,166.881,4326
BEAR,Bear Peninsula,Marie Byrd Land,88.2,-74.3922,-110.1917,4326
BEAU,Beaufort Island,Victoria Land,88.1,-76.9694,166.8978,4326
BEAV,Beaver Rocks,Northwest Antarctic Peninsula,48.1,-63.679,-59.362,4326
BECH,Bechervaise Island,Mac. Robertson Land,58.4.2,-67.5833,62.8167,4326
BELI,Bell Island,Central-west Antarctic Peninsula,48.1,-64.2782,-61.9976,4326
BELL,Bell Point,South Shetland Islands,48.1,-62.119,-58.889,4326
BELS,Cape Belsham,Elephant Island,48.1,-61.096,-54.883,4326
BENE,Beneden Head,Central-west Antarctic Peninsula,48.1,-64.7671,-62.701,4326
BENN,Cape Bennett,South Orkney Islands,48.2,-60.62,-45.236,4326
BENT,Benten,Queen Maud Land,58.4.2,-69.0417,39.25,4326
BERK,Berkley/Cameron,Wilkes Land,58.4.1,-66.2163,110.64,4326
BERN,Bernardo O'Higgins Station,Northwest Antarctic Peninsula,48.1,-63.3209,-57.9,4326
BERT,Berthelot Islands (excl. Green Island),Central-west Antarctic Peninsula,48.1,-65.333,-64.112,4326
BIEN,Cape Bienvenue,Wilkes Land,58.4.1,-66.7203,140.5252,4326
BISC,Biscoe Point,Central-west Antarctic Peninsula,48.1,-64.8114,-63.7775,4326
BLAI,Blaiklock Island,Southwest Antarctic Peninsula,48.1,-67.55,-67.066667,4326
BLAK,Blake Island,Northwest Antarctic Peninsula,48.1,-63.649,-59.0303,4326
BOLI,Bolingen/Lichen Island,Princess Elizabeth Land,58.4.2,-69.456,75.7474,4326
BONG,Bongrain Point (Pourquoi Pas Island),Southwest Antarctic Peninsula,48.1,-67.7233,-67.7319,4326
BOUD,Boudet Island,Central-west Antarctic Peninsula,48.1,-65.1834,-64.152,4326
BOWL,Cape Bowles,Elephant Island,48.1,-61.316,-54.091,4326
BOWM,Bowman Island,Wilkes Land,58.4.1,-65.16,103.07,4326
BOYE,Boyer Rocks,Northwest Antarctic Peninsula,48.1,-63.58295,-59.0371,4326
BPTS,Byewater Point (south),South Shetland Islands,48.1,-62.774695,-61.526269,4326
BRAS,Brash Island,Northeast Antarctic Peninsula,48.1,-63.386389,-54.914167,4326
BRAT,Brattstrand Bluff,Princess Elizabeth Land,58.4.2,-69.2157,76.9995,4326
BRDM,Cape Bird Middle,Victoria Land,88.1,-77.230393,166.4187,4326
BRDN,Cape Bird North,Victoria Land,88.1,-77.214483,166.44589,4326
BRDS,Cape Bird South,Victoria Land,88.1,-77.259444,166.379444,4326
BRIM,Brimstone Peak,South Shetland Islands,48.1,-61.912407,-57.752451,4326
BRUI,Bruce Island,Central-west Antarctic Peninsula,48.1,-64.8956,-63.1158,4326
BRIT,Brittannia's Figleaf,Elephant Island,48.1,-61.278,-55.213,4326
BRIW,Brittannia's Figleaf West,Elephant Island,48.1,-61.278,-55.241,4326
BROW,Brown Bluff,Northeast Antarctic Peninsula,48.1,-63.5222,-56.905,4326
BRPW,Brimstone Peak (west),South Shetland Islands,48.1,-61.918323,-57.7633,4326
BRUC,Bruce Islands,South Orkney Islands,48.2,-60.683,-44.924,4326
BRYC,Bryde Island Cliffs,Central-west Antarctic Peninsula,48.1,-64.854167,-62.878611,4326
BRYE,Bryde Island East,Central-west Antarctic Peninsula,48.1,-64.889722,-62.927222,4326
BRYS,Bryde Island South,Central-west Antarctic Peninsula,48.1,-64.9,-62.95,4326
BSON,Brownson Islands,Marie Byrd Land,88.3,-74.168119,-103.636074,4326
BUCH,Buchanan Point,South Orkney Islands,48.2,-60.691,-44.465,4326
BUCK,Buckle Island,Victoria Land,88.1,-66.8908,163.2871,4326
BURD,Cape Burd,Northeast Antarctic Peninsula,48.1,-63.650556,-57.129722,4326
BURK,Cape Burks,Marie Byrd Land,88.2,-74.750466,-136.829586,4326
BUSK,Buskin Rocks,Elephant Island,48.1,-61.057,-55.149,4326
BYER,Byers Peninsula,South Shetland Islands,48.1,-62.633,-61.066,4326
BYEW,Byewater Point,South Shetland Islands,48.1,-62.7528,-61.5021,4326
CARL,Carlota Cove,South Shetland Islands,48.1,-62.373443,-59.709059,4326
CARO,Caroline Bluff,South Shetland Islands,48.1,-61.911,-57.659,4326
CAST,Castle Rock,South Shetland Islands,48.1,-62.7886,-61.5814,4326
CASY,Casy Island,Northwest Antarctic Peninsula,48.1,-63.2365,-57.5052,4326
CBAR,Cape Barne,Victoria Land,88.1,-77.578012,166.24162,4326
CBAY,Casey Bay,Enderby Land,58.4.2,-67.3774,48.6565,4326
CBEK,"Cape Colbeck, Edward VII Peninsula",Marie Byrd Land,88.2,-77.14,-157.7,4326
CCMP,Chinstrap Camp,Elephant Island,48.1,-61.156,-54.756,4326
CCOE,Cape Conway (east),South Shetland Islands,48.1,-62.838,-61.424,4326
CDAV,Cape Davis,Victoria Land,88.1,-66.65,163.5333,4326
CECI,Cecilia Island,South Shetland Islands,48.1,-62.4128,-59.7285,4326
CHAB,"Chabrier Rock, Vaureal Peak",South Shetland Islands,48.1,-62.1874,-58.2961,4326
CHAL,Cape Hallett,Victoria Land,88.1,-72.3179,170.2142,4326
CHAP,Chappel Island,Wilkes Land,58.4.1,-66.1772,110.4193,4326
CHAR,Charcot Island,Palmer Land,88.3,-69.7617,-75.4074,4326
CHAT,Chatos Island,Southwest Antarctic Peninsula,48.1,-67.66,-69.152,4326
CHEA,Cheal Point,South Orkney Islands,48.2,-60.633,-45.994,4326
CHEC,Crown Head (east coast),South Orkney Islands,48.2,-60.627,-45.259,4326
CHI1,Child Rocks Islands 1,Mac. Robertson Land,58.4.2,-67.4377,63.2749,4326
CHI2,Child Rocks Islands 2,Mac. Robertson Land,58.4.2,-67.438,63.2824,4326
CHI3,Child Rocks Islands 3,Mac. Robertson Land,58.4.2,-67.4387,63.2715,4326
CHIC,Chick Islands,Wilkes Land,58.4.1,-66.7918,120.9934,4326
CHII,Chinstrap Islet,Victoria Land,88.1,-66.925,163.311,4326
CHIN,Chinstrap Cove,Elephant Island,48.1,-61.245,-54.197,4326
CHIS,Christine Island,Central-west Antarctic Peninsula,48.1,-64.7946,-64.0236,4326
CHNE,Cape Herschel (northeast),Central-west Antarctic Peninsula,48.1,-64.042,-60.986,4326
CHPT,Charles Point,Central-west Antarctic Peninsula,48.1,-64.236,-61,4326
CHRI,Christoffersen Island,South Orkney Islands,48.2,-60.728,-45.035,4326
CHSE,Cape Herschel (southeast),Central-west Antarctic Peninsula,48.1,-64.078,-61.033,4326
CHUN,Cape Hunter,Victoria Land,58.4.1,-66.963,142.349,4326
CIER,Cierva Point,Central-west Antarctic Peninsula,48.1,-64.157,-60.96,4326
CIOL,Coronation Island (other localities),South Orkney Islands,48.2,-60.665,-45.444,4326
CIPT,Cieslak Point,South Shetland Islands,48.1,-62.009,-58.655,4326
CLAR,Clark Island,Marie Byrd Land,88.2,-74.056,-105.193,4326
CLIN,Cape Lindsey,Elephant Island,48.1,-61.107,-55.48,4326
CLPT,Claude Point,Central-west Antarctic Peninsula,48.1,-64.116,-62.6177,4326
CMEL,Cape Melville,South Shetland Islands,48.1,-62.022,-57.58,4326
CMID,Coulman Middle,Victoria Land,88.1,-73.4372,169.8854,4326
CMUR,Cape Murray,Central-west Antarctic Peninsula,48.1,-64.3663,-61.6206,4326
CNOR,Coulman North,Victoria Land,88.1,-73.3822,169.8401,4326
COBA,Cobalescou Island,Central-west Antarctic Peninsula,48.1,-64.1795,-61.6499,4326
COCK,Cockburn Island,Northeast Antarctic Peninsula,48.1,-64.2005,-56.8412,4326
COFF,Coffer Island,South Orkney Islands,48.2,-60.742,-45.138,4326
COLB,Colbeck Archipelago Unnamed 1,Mac. Robertson Land,58.4.2,-67.3436,61.0647,4326
CONC,Conception Point,South Orkney Islands,48.2,-60.512,-45.709,4326
CONE,Cone Island,Southwest Antarctic Peninsula,48.1,-67.6749,-69.1531,4326
CONF,Confusion Island,South Orkney Islands,48.2,-60.738,-45.636,4326
CONI,Conical Island (Aviation Islands),Victoria Land,88.1,-69.2667,158.7833,4326
CONT,Continental Rock,Mac. Robertson Land,58.4.2,-67.3997,59.7964,4326
CONW,Cape Conway,South Shetland Islands,48.1,-62.8415,-61.4224,4326
CORI,Cornwall Island,South Shetland Islands,48.1,-62.3426,-59.709,4326
CORM,Cormorant Island,Central-west Antarctic Peninsula,48.1,-64.7939,-63.9667,4326
CORN,Cape Cornish (NE Buckle),Victoria Land,88.1,-66.7031,163.2139,4326
CORP,Cormorant Point,South Orkney Islands,48.2,-60.756,-44.732,4326
COTT,Cape Cotter,Victoria Land,88.1,-72.4045,170.3122,4326
COUL,Coulman Island,Victoria Land,88.1,-73.35,169.61,4326
CPTW,Cieslak Point (west),South Shetland Islands,48.1,-62.012,-58.689,4326
